CardID,CustomerID,CardType,CardNumber,IssuedDate,ExpirationDate
1,3648,Prepaid,6011716166637459,2023-04-18,2030-02-22
2,4795,Debit,4869068203653729,2022-08-12,2026-11-16
3,3209,Prepaid,3570969597122092,2023-04-25,2027-02-04
4,3357,Prepaid,6566794648369610,2023-09-25,2029-12-28
5,619,Debit,4605275219991485,2021-02-19,2026-09-12
6,3207,Debit,2227886221030047,2023-05-15,2027-10-07
7,4338,Debit,4991654477804378,2020-11-18,2028-09-27
8,485,Credit,377855934804255,2023-11-29,2029-09-09
9,2133,Prepaid,4212630932629553,2023-06-13,2029-05-13
10,1329,Credit,4769243131530999,2025-02-23,2030-02-01
11,867,Credit,3576234380525744,2024-02-21,2026-09-26
12,1246,Credit,6011113915984913,2020-12-04,2029-12-05
13,485,Prepaid,341319993649880,2024-02-08,2028-03-22
14,1217,Prepaid,6011421514746041,2021-07-12,2027-10-24
15,2209,Debit,6509695580538809,2024-03-31,2027-11-06
16,433,Debit,2255394813044851,2024-09-03,2029-08-08
17,2729,Credit,3517757252487611,2022-04-12,2028-04-18
18,2077,Prepaid,2398142544776533,2025-02-02,2029-06-06
19,4355,Credit,4126486411640933,2020-10-16,2028-07-30
20,2347,Debit,38737403465399,2024-01-10,2029-10-25
21,1686,Credit,4144360403960,2023-03-23,2027-06-02
22,1294,Debit,6011125913778543,2021-10-12,2027-09-28
23,2211,Debit,213138886650986,2023-08-25,2028-02-09
24,143,Credit,345537642040856,2020-07-11,2028-05-24
25,2772,Debit,4670472839967116,2020-10-10,2029-08-19
26,2909,Debit,30489736842609,2024-04-20,2028-09-09
27,4579,Credit,3563529536660997,2022-07-16,2029-12-15
28,1191,Debit,676130539304,2024-02-08,2026-09-20
29,3840,Debit,3511199773479015,2024-10-05,2027-03-04
30,557,Debit,630487194072,2023-06-20,2026-11-05
31,3478,Prepaid,4880497256080492191,2021-08-17,2029-04-08
32,1933,Debit,3539273547072527,2021-09-25,2027-09-19
33,3479,Credit,4073783012043,2021-05-30,2027-04-13
34,440,Debit,180026772271414,2020-12-11,2029-08-12
35,2112,Debit,3547309664326781,2022-10-03,2026-12-24
36,4737,Credit,347049875302506,2023-10-04,2030-01-22
37,1000,Prepaid,4801044401732,2021-07-10,2030-01-16
38,3914,Credit,4158478021423,2024-09-21,2029-10-23
39,2592,Prepaid,5497647578509637,2023-05-20,2026-11-15
40,1410,Debit,4830020322273,2023-07-26,2029-03-25
41,3609,Prepaid,342324587226052,2022-12-23,2027-01-23
42,3478,Prepaid,213127068511918,2022-04-04,2029-01-17
43,128,Credit,30483204098828,2024-01-11,2026-12-14
44,1970,Credit,4638433021399591508,2021-10-17,2027-06-28
45,3361,Prepaid,30159380403046,2021-01-19,2028-09-03
46,1494,Prepaid,3560307677383916,2023-05-03,2028-07-08
47,4347,Debit,4442012515912,2025-05-05,2029-06-14
48,1613,Credit,2243314038350854,2024-05-06,2027-09-01
49,1142,Prepaid,30579953718084,2023-05-04,2027-01-26
50,4694,Prepaid,4548823847961,2021-01-26,2030-04-03
51,3143,Prepaid,213117600457415,2020-06-15,2028-07-07
52,2948,Credit,30493822801396,2021-06-10,2029-11-26
53,1352,Debit,3500154963629336,2022-05-07,2030-04-28
54,3735,Credit,370563224487016,2023-03-11,2030-05-03
55,3251,Credit,3580764386028669,2025-04-21,2030-05-11
56,3425,Credit,5375081721615355,2024-04-16,2029-04-11
57,3414,Debit,4005816956162339,2024-10-28,2030-02-09
58,2549,Credit,3552709684455993,2021-12-07,2030-02-12
59,119,Debit,4753091061801890,2023-01-26,2027-08-06
60,4097,Credit,347065381799951,2023-06-21,2027-03-03
61,1090,Prepaid,180026713210588,2020-12-31,2029-12-09
62,3192,Prepaid,4860432010389662,2023-03-25,2026-06-20
63,3829,Prepaid,4073079476839608,2020-12-25,2030-01-24
64,254,Prepaid,3549755574537388,2020-08-09,2028-12-14
65,1685,Prepaid,60496357041,2023-11-22,2028-03-05
66,920,Debit,4737073115370198,2023-10-25,2029-08-02
67,1650,Credit,180046919619879,2023-12-06,2027-12-18
68,3346,Prepaid,4092583447101032804,2025-01-05,2027-06-14
69,3622,Credit,30583627358814,2021-05-24,2028-06-01
70,1742,Debit,3577387861264214,2021-09-24,2028-05-04
71,2264,Credit,4024979853485935,2020-12-06,2026-10-19
72,4581,Prepaid,4999121482978425,2022-09-10,2027-02-20
73,1101,Debit,2424575319276692,2022-07-01,2027-09-20
74,4216,Debit,4360633055928794,2023-12-05,2027-01-23
75,4829,Credit,4358934680293271,2022-07-25,2029-01-18
76,1761,Credit,213147636509046,2025-03-01,2027-03-10
77,3789,Prepaid,4377493216590,2023-01-15,2026-12-14
78,2420,Prepaid,4419903403002,2022-03-21,2029-05-11
79,345,Prepaid,6518123590084317,2021-02-23,2028-06-18
80,357,Debit,6011946804433561,2023-06-12,2029-04-05
81,1720,Prepaid,4387145171129322659,2022-06-06,2028-01-17
82,381,Debit,3579709559259594,2022-07-08,2030-02-07
83,2780,Credit,4455922947752645,2024-01-22,2029-08-29
